Year;C: Current prices;V: Constant prices, national base year;VP: Constant prices, previous year prices;VOB: Constant prices, OECD base year;CXC: Current prices, current exchange rates;VXCOB: Current prices, constant exchange rates, OECD base year;VXVOB: Constant prices, constant exchange rates, OECD base year;XVP: Previous year prices and previous year exchange rates;VIXOB: Volume index;DOB: Deflator;G: Growth rate
1970;36604,008;763353,47;0;763353,47;113400,388;40612,619;846950,515;0;46,114185;4,795158;0
1971;39945,026;777232,06;0;777232,06;124676,712;44319,522;862348,99;115462,129;46,952591;5,139395;1,818108
1972;43752,324;805915,699;0;805915,699;145256,808;48543,767;894173,856;129277,888;48,68537;5,428896;3,690486
1973;52840,658;863344,142;0;863344,142;175496,591;58627,392;957891,454;155607,608;52,154622;6,120463;7,125862
1974;67033,712;910829,288;0;910829,288;199579,76;74374,768;1010576,836;185149,152;55,0232;7,359635;5,500141
1975;76779,041;891791,472;0;891791,472;227717,153;85187,335;989454,134;195408,217;53,873125;8,609528;-2,090163
1976;96605,958;955335,049;0;955335,049;224735,496;107185,556;1059956,552;243942,877;57,711793;10,112259;7,125385
1977;117386,64;979796,411;0;979796,411;257587,527;130241,99;1087096,748;230489,85;59,189504;11,980717;2,560501
1978;138090,063;1011543,184;0;1011543,184;315059,737;153212,705;1122320,202;265933,723;61,107326;13,651425;3,24014
1979;168926,87;1071822,655;0;1071822,655;393673,271;187426,539;1189201,052;333834,649;64,748809;15,760711;5,959159
1980;211090,672;1108586,348;0;1108586,348;477237,117;234207,822;1229990,843;407176,329;66,969704;19,041428;3,430016
1981;252865,644;1117945,34;0;1117945,34;430710,095;280557,692;1240374,766;481266,085;67,535081;22,618784;0,844228
1982;298449,943;1122569,002;0;1122569,002;427264,62;331134,059;1245504,778;432491,45;67,814396;26,586334;0,413586
1983;347522,438;1135694,118;0;1135694,118;443031,247;385580,625;1260067,263;432260,212;68,607285;30,600003;1,169203
1984;397339,289;1172329,933;0;1172329,933;437890,322;440853,063;1300715,173;457322,781;70,820454;33,893128;3,225852
1985;445931,669;1205132,73;0;1205132,73;452197,759;494766,935;1337110,299;450142,868;72,802071;37,002702;2,798086
1986;493033,453;1239599,187;0;1239599,187;640353,823;547026,971;1375351,278;465130,488;74,88419;39,773619;2,859972
1987;539344,368;1279166,705;0;1279166,705;805756,109;598409,529;1419251,949;660793,665;77,274464;42,163728;3,191961
1988;599339,541;1332819,783;0;1332819,783;891563,196;664974,947;1478780,73;839552,56;80,515647;44,967786;4,194377
1989;658049,42;1377980,828;0;1377980,828;928625,859;730114,314;1528887,492;921772,776;83,243826;47,754614;3,388384
1990;730940,578;1405344,426;0;1405344,426;1181283,986;810987,993;1559247,756;947066,279;84,896861;52,01149;1,985775
1991;798453,254;1426964,913;0;1426964,913;1246174,807;885894,177;1583235,965;1199457,42;86,202954;55,954652;1,538448
1992;840282,887;1438869,731;0;1438869,731;1320193,805;932304,695;1596444,515;1256571,338;86,922124;58,398816;0,834275
1993;865491,428;1426598,967;0;1426598,967;1064917,988;960273,896;1582829,944;1308935,116;86,180847;60,668166;-0,852806
1994;915427,658;1457285,448;0;1457285,448;1099271,684;1015678,787;1616876,99;1087824,625;88,034618;62,81732;2,151024
1995;988243,2;1499354,9;0;1499354,9;1174698,698;1096468,569;1663553,589;1131005,863;90,576034;65,911226;2,886837
1996;1045872,7;1518348,5;1000762,1;1518348,5;1312483,174;1160409,243;1684627,233;1189579,603;91,723437;68,882256;1,266785
1997;1092357,3;1546137,5;1065014,4;1546137,5;1241913,281;1211984,506;1715459,487;1336504,402;93,402171;70,650722;1,830212
1998;1138856,1;1574132,1;1112135,7;1574132,1;1270086,121;1263575,524;1746519,856;1264399,551;95,093324;72,348191;1,810615
1999;1175149,5;1599723,2;1157370,8;1599723,2;1252446,66;1303843,519;1774913,512;1290734,262;96,639283;73,459552;1,625728
2000;1241512,9;1660304;1219651,9;1660304;1146676,894;1377474,566;1842128,69;1299876,253;100,298969;74,77624;3,786955
2001;1304136,8;1692702,7;1265739,4;1692702,7;1168023,426;1446956,591;1878075,466;1169052,821;102,256175;77,044646;1,951372
2002;1350258,9;1697001,2;1307448,6;1697001,2;1276769,338;1498129,655;1882844,707;1170989,54;102,515847;79,567351;0,253943
2003;1394693,2;1699353,7;1352130,7;1699353,7;1577621,707;1547430,084;1885454,836;1278539,284;102,657962;82,071978;0,138627
2004;1452319;1723545,6;1414548;1723545,6;1806542,969;1611366,652;1912296,061;1600080,638;104,119394;84,263451;1,423594
2005;1493635,3;1737641,6;1464196,8;1737641,6;1858217,147;1657207,619;1927935,754;1821317,762;104,970934;85,957616;0,817849
2006;1552686,8;1768756,5;1520380,9;1768756,5;1949551,719;1722726,02;1962458,137;1891491,121;106,850585;87,78409;1,79064
2007;1614839,8;1795059,2;1575776,4;1795059,2;2213102,483;1791685,574;1991641,322;1978542,976;108,439531;89,960253;1,487073
2008;1637699,4;1777790,5;1599304,8;1777790,5;2408655,349;1817048,595;1972481,477;2191812,153;107,396329;92,119932;-0,962013
2009;1577255,9;1683906,5;1551213,6;1683906,5;2199928,804;1749985,753;1868315,968;2281455,772;101,724796;93,666477;-5,280937
2010;1611279,4;1712756,8;1604279;1712756,8;2136099,955;1787735,265;1900325,748;2237620,093;103,467643;94,075201;1,713296
2011;1648755,8;1724871,7;1622676,5;1724871,7;2294994,297;1829315,814;1913767,386;2151209,303;104,199504;95,587156;0,707333
2012;1624358,7;1673454,9;1599607,9;1673454,9;2086957,657;1802246,917;1856719,783;2226582,679;101,093415;97,066177;-2,980906
2013;1612751,3;1642645,5;1594453,2;1642645,5;2141924,094;1789368,357;1822536,357;2048535,4;99,232219;98,180119;-1,841065
2014;1627405,6;1642570,8;1612677,9;1642570,8;2162009,616;1805627,491;1822453,476;2141826,689;99,227706;99,07674;-0,004548
2015;1655355;1655355;1640071,8;1655355;1836637,711;1836637,711;1836637,711;2178836,631;100;100;0,778304
2016;1695786,8;1676766,4;1676766,4;1676766,4;1877071,688;1881497,314;1860393,935;1860393,935;101,293463;101,13435;1,293463
2017;1736592,8;1704732,5;1724070,1;1704732,5;1961796,197;1926772,097;1891422,684;1908378,597;102,982895;101,868933;1,667859
2018;1771391,2;1720515,1;1752670,5;1720515,1;2091932,426;1965381,371;1908933,682;1979958,721;103,936322;102,957027;0,925811
2019;1796648,5;1728828,6;1779950,5;1728828,6;2011302,199;1993404,671;1918157,617;2102040,609;104,43854;103,922882;0,483198
2020;1661239,8;1573680,2;1635413,8;1573680,2;1897461,636;1843166,973;1746018,468;1830804,075;95,066025;105,564002;-8,974192
2021;1822344,5;1704512,2;1799351,2;1704512,2;2155360,299;2021914,714;1891178,258;2055212,048;102,969587;106,912963;8,31376
2022;1946479,1;1767997,6;1890218,7;1767997,6;2049737,165;2159643,653;1961616,128;2235637,759;106,80474;110,095121;3,724549
